Domain,Links
twitter.com,47952731
facebook.com,44786740
www.blogger.com,24675348
instagram.com,19577569
youtube.com,17171610
bp.blogspot.com,15730601
plus.google.com,12630719
www.google.com,11784363
www.skyrock.com,10744406
wordpress.org,9400564
linkedin.com,8492249
gen.xyz,7666013
pinterest.com,6952931
draft.blogger.com,5611853
en.wikipedia.org,5409787
hugedomains.com,5217386
cloudflare.com,4824507
apple.com,4449226
maps.google.com,4448010
support.google.com,4416733
goo.gl,4166725
microsoft.com,4057017
qq.com,4047105
amazon.com,3970298
bit.ly,3840502
youtu.be,3658540
vimeo.com,3071936
istockphoto.com,3038411
adobe.com,2926758
accounts.google.com,2525517
www.livejournal.com,2433053
godaddy.com,2317559
play.google.com,2274051
docs.google.com,2159595
googleusercontent.com,2138950
files.wordpress.com,1974385
github.com,1908081
sedo.com,1903038
mozilla.org,1894081
feedburner.com,1748595
gravatar.com,1669453
t.co,1664041
nytimes.com,1662379
drive.google.com,1651654
europa.eu,1646615
jimdofree.com,1634897
sites.google.com,1626560
photobucket.com,1610860
vk.com,1592976
soundcloud.com,1530226
creativecommons.org,1519996
weibo.com,1495347
tools.google.com,1463701
hatena.ne.jp,1463229
whatsapp.com,1425009
bbc.co.uk,1408995
wikimedia.org,1354719
myspace.com,1282265
imdb.com,1236050
tinyurl.com,1208868
cnn.com,1201386
cpanel.net,1188009
buydomains.com,1181983
theguardian.com,1178065
dan.com,1154235
netvibes.com,1144528
my.yahoo.com,1127618
imgur.com,1126769
sina.com.cn,1124058
cpanel.com,1104764
google.de,1095881
shopify.com,1074797
dailymotion.com,1070463
medium.com,1062841
w3.org,1056349
policies.google.com,1033624
spotify.com,1033380
nih.gov,1009978
msn.com,994776
search.google.com,944098
yandex.ru,927205
disqus.com,924686
www.yahoo.com,920069
dropbox.com,916655
wp.com,911241
forbes.com,907206
huffingtonpost.com,895328
www.wix.com,884890
ebay.com,884272
paypal.com,870567
developers.google.com,869174
bing.com,863729
slideshare.net,863006
washingtonpost.com,856203
archive.org,855433
digg.com,823104
photos1.blogger.com,818109
issuu.com,817277
secureserver.net,814265
apache.org,807583
